airline,airline ID, source airport, source airport id, destination apirport, destination airport id, codeshare, stops, equipment
3S,11741,PTP,2881,FDF,2878,,0,AT5 320
3S,11741,PTP,2881,SBH,6460,,0,DHT
3S,11741,PTP,2881,SDQ,1762,,0,AT5
3S,11741,PTP,2881,SFG,2879,,0,AT5
3S,11741,PTP,2881,SXM,2899,,0,AT5
3S,11741,SBH,6460,PTP,2881,,0,DHT
3S,11741,SDQ,1762,PTP,2881,,0,AT5
3S,11741,SDQ,1762,SXM,2899,,0,AT5
3S,11741,SFG,2879,PTP,2881,,0,AT5
3S,11741,SLU,2893,FDF,2878,,0,AT5
3S,11741,SXM,2899,DOM,2877,,0,AT5
3S,11741,SXM,2899,PTP,2881,,0,AT5
3S,11741,SXM,2899,SDQ,1762,,0,AT5
3U,4608,BHY,6351,XIY,3379,,0,321
3U,4608,CAN,3370,CKG,3393,,0,321 320
3U,4608,CAN,3370,CTU,3395,,0,321 320 330
3U,4608,CAN,3370,SPN,2244,,0,330
3U,4608,CGO,3375,CGQ,4380,,0,321
3U,4608,CGO,3375,CKG,3393,,0,321
3U,4608,CGO,3375,CTU,3395,,0,321
3U,4608,CGO,3375,HGH,3386,,0,320
3U,4608,CGO,3375,HRB,3400,,0,320
3U,4608,CGO,3375,KMG,3382,,0,320
3U,4608,CGO,3375,URC,3399,,0,320
3U,4608,CGQ,4380,CGO,3375,,0,321
3U,4608,CGQ,4380,NKG,3388,,0,320
3U,4608,CGQ,4380,TNA,4108,,0,321
3U,4608,CGQ,4380,TSN,3368,,0,320 319
3U,4608,CKG,3393,CAN,3370,,0,321 320
3U,4608,CKG,3393,CGO,3375,,0,321
3U,4608,CKG,3393,CSX,3371,,0,319 321
3U,4608,CKG,3393,CTU,3395,,0,330
3U,4608,CKG,3393,CZX,4109,,0,320
3U,4608,CKG,3393,DLC,3404,,0,320
3U,4608,CKG,3393,DYG,6353,,0,320
